,title,artist,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,unknown,total_number_of_words,emotional_impact_words,neutral_words,norm_positive,norm_negative,norm_anger,norm_anticipation,norm_disgust,norm_fear,norm_joy,norm_sadness,norm_surprise,norm_trust,norm_unknown,norm_total_number_of_words,norm_emotional_impact_words,norm_neutral_words,year
b1,wooly bully,sam the sham and the pharaohs,3,19,19,1,2,17,1,0,1,1,57,94,22,15,3.191489362,20.21276596,20.21276596,1.063829787,2.127659574,18.08510638,1.063829787,0,1.063829787,1.063829787,60.63829787,100,23.40425532,15.95744681,1965
b2,i cant help myself sugar pie honey bunch,four tops,14,1,0,2,1,0,7,0,0,0,62,106,15,29,13.20754717,0.943396226,0,1.886792453,0.943396226,0,6.603773585,0,0,0,58.49056604,100,14.1509434,27.35849057,1965
b3,i cant get no satisfaction,the rolling stones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965
b4,you were on my mind,we five,2,10,3,4,0,8,0,8,0,0,44,71,12,15,2.816901408,14.08450704,4.225352113,5.633802817,0,11.26760563,0,11.26760563,0,0,61.97183099,100,16.90140845,21.12676056,1965
b5,youve lost that lovin feelin,the righteous brothers,17,8,1,1,1,1,17,7,2,1,90,140,25,25,12.14285714,5.714285714,0.714285714,0.714285714,0.714285714,0.714285714,12.14285714,5,1.428571429,0.714285714,64.28571429,100,17.85714286,17.85714286,1965
b6,downtown,petula clark,7,14,3,7,3,5,4,6,1,5,83,130,21,26,5.384615385,10.76923077,2.307692308,5.384615385,2.307692308,3.846153846,3.076923077,4.615384615,0.769230769,3.846153846,63.84615385,100,16.15384615,20,1965
b7,help,the beatles,8,5,4,7,3,5,4,4,5,7,70,112,13,29,7.142857143,4.464285714,3.571428571,6.25,2.678571429,4.464285714,3.571428571,3.571428571,4.464285714,6.25,62.5,100,11.60714286,25.89285714,1965
b8,cant you hear my heart beat,hermans hermits,33,0,1,4,0,1,32,0,0,3,70,131,33,28,25.19083969,0,0.763358779,3.053435115,0,0.763358779,24.42748092,0,0,2.290076336,53.4351145,100,25.19083969,21.3740458,1965
b9,crying in the chapel,elvis presley,14,4,1,9,2,3,11,3,2,12,38,78,18,22,17.94871795,5.128205128,1.282051282,11.53846154,2.564102564,3.846153846,14.1025641,3.846153846,2.564102564,15.38461538,48.71794872,100,23.07692308,28.20512821,1965
b10,my girl,the temptations,9,6,8,3,1,1,6,2,6,3,36,87,15,36,10.34482759,6.896551724,9.195402299,3.448275862,1.149425287,1.149425287,6.896551724,2.298850575,6.896551724,3.448275862,41.37931034,100,17.24137931,41.37931034,1965
b11,help me rhonda,the beach boys,0,2,1,2,1,1,0,2,0,0,161,181,2,18,0,1.104972376,0.552486188,1.104972376,0.552486188,0.552486188,0,1.104972376,0,0,88.95027624,100,1.104972376,9.944751381,1965
b12,king of the road,roger miller,10,5,0,4,0,1,5,3,1,3,46,103,15,42,9.708737864,4.854368932,0,3.883495146,0,0.970873786,4.854368932,2.912621359,0.970873786,2.912621359,44.66019417,100,14.5631068,40.77669903,1965
b13,the birds and the bees,jewel akens,12,6,19,8,5,8,9,0,6,7,35,91,18,38,13.18681319,6.593406593,20.87912088,8.791208791,5.494505495,8.791208791,9.89010989,0,6.593406593,7.692307692,38.46153846,100,19.78021978,41.75824176,1965
b14,hold me thrill me kiss me,mel carter,25,3,2,19,2,9,25,3,18,1,54,112,28,30,22.32142857,2.678571429,1.785714286,16.96428571,1.785714286,8.035714286,22.32142857,2.678571429,16.07142857,0.892857143,48.21428571,100,25,26.78571429,1965
b15,shotgun,junior walker  the all stars,6,5,10,0,0,5,5,1,7,0,43,76,11,22,7.894736842,6.578947368,13.15789474,0,0,6.578947368,6.578947368,1.315789474,9.210526316,0,56.57894737,100,14.47368421,28.94736842,1965
b16,i got you babe,sonny  cher,10,3,1,11,0,0,9,0,5,4,75,110,13,22,9.090909091,2.727272727,0.909090909,10,0,0,8.181818182,0,4.545454545,3.636363636,68.18181818,100,11.81818182,20,1965
b17,this diamond ring,gary lewis  the playboys,23,1,1,4,0,0,18,0,2,1,39,87,24,24,26.43678161,1.149425287,1.149425287,4.597701149,0,0,20.68965517,0,2.298850575,1.149425287,44.82758621,100,27.5862069,27.5862069,1965
b18,the in crowd,ramsey lewis trio,1,0,0,0,0,0,0,0,0,0,0,1,1,0,100,0,0,0,0,0,0,0,0,0,0,100,100,0,1965
b19,mrs brown youve got a lovely daughter,hermans hermits,16,2,0,8,0,2,14,6,8,8,71,112,18,23,14.28571429,1.785714286,0,7.142857143,0,1.785714286,12.5,5.357142857,7.142857143,7.142857143,63.39285714,100,16.07142857,20.53571429,1965
